f1,f2,f3
0.7071067817188916,0.7071067869085396,2.4602821792691713e-05
0.7022713864238258,0.7022713899552474,0.1167467409533743
0.1641900343552753,0.16419003354037237,0.9726681202402192
0.12851513446265447,0.12851513352020583,0.9833451737088451
0.06852624870485655,0.06852624914857004,0.9952930806159939
0.418781221095491,0.41878121815457847,0.8057571531076996
0.6205532140131136,0.6205532045731094,0.47940322603906843
0.25041608887134353,0.2504160905013967,0.9351917308449476
0.20342425309825485,0.20342425158993105,0.9577249901506535
0.6865595375323298,0.6865595324013055,0.23931573168053388
0.6567321060066235,0.6567321116024933,0.3706829985191424
0.486464647117684,0.48654981062716235,0.7259038011789379
0.2999092624021579,0.2999092601235244,0.9055986306157326
0.021194477297407744,0.021194477219984527,0.9995506968322858
0.0433189573451826,0.043318957040936815,0.998121708564751
0.3598326803754531,0.359832682993391,0.8608373201553369
0.6064520665241807,0.6064520710139429,0.514229312909638
0.09693882280611513,0.09693882213432271,0.9905582967256837
6.260818812300308e-07,6.260818773293978e-07,1.0000000047868354
0.5480794483797062,0.5480794442112927,0.6318368863820978
0.11318221840202751,0.11318221754794755,0.9871066714824995
0.02132937933370497,0.021329379494076376,0.999544958876984
0.03636312268832702,0.03636312283691156,0.998676851294878
0.017947095255311424,0.017947095119970044,0.999677854824291
0.18202223870697662,0.18202223744580678,0.9663000666834849
0.4609976229040645,0.4609976203312861,0.7582627480999701
0.36169480864305525,0.3616948114971706,0.8592751241161851
0.19443704968213202,0.19443704848106594,0.9614512348564301
0.06731184356300723,0.06731184316151943,0.9954588095469215
0.5992181578133469,0.5992181539877754,0.5309192151363678
0.3972031389174158,0.3972031359723845,0.8273205817530456
0.6775612306848924,0.6775612258905226,0.2860447047652217
0.7069796304701653,0.7069796248734854,0.018963712161439716
0.28643280337850324,0.28643280532208426,0.91428250967894
0.6610962977889805,0.6610962931697106,0.35482867106327487
0.7054790702743705,0.7054790658607742,0.0678128182145461
0.24469173099924166,0.2447343051571459,0.9383730825558773
0.5426274507464494,0.5426274526558408,0.6411793073252348
0.6216737358655852,0.6216737467300464,0.47649086220418163
0.13247390291215916,0.13247390375136398,0.9822939170060001
0.03222049531355141,0.032220495035694637,0.9989613067088559
0.48623123556387277,0.4862312325341097,0.7260567358045549
0.021135554089907013,0.021135554165121025,0.9995531935346954
0.6389155150193114,0.6389155109205519,0.4284553001003684
0.3386067756863066,0.3386067731848011,0.877890035543788
0.2336607497632615,0.23366075099168468,0.9438248340359914
0.6883490644779426,0.6883490678349855,0.22880370653046989
0.2798710492340368,0.2798710468523882,0.9183378490174707
0.16579504571815162,0.16579504458128735,0.9721234566080209
0.7062435306295858,0.7062435257859656,0.04939804872859701
0.7069442127598211,0.7069442073650445,0.02144243177372915
0.20475982336742365,0.2047598244039431,0.957155598082014
0.10118477477640672,0.10118477410145724,0.9897086906296274
0.07063458517923785,0.07063458468882848,0.9949982512660313
0.4289284045295502,0.42892840763595336,0.7950099711679203
0.6088534361494977,0.6088534318293362,0.508522370450468
0.02179718596448239,0.02179718610533856,0.9995247745836223
0.12382889612601153,0.1238288968744835,0.9845470118510119
0.6292768416326744,0.6292768305552575,0.4560935775603577
0.5239556438442959,0.5239556412191636,0.6715213897311229
0.70075673261581,0.7007567361004112,0.13371613946438715
0.33412260969609625,0.33412260740744903,0.8813195644719504
0.6022429496277475,0.6022429462754959,0.5240294580940854
0.27468514334693134,0.27468514051846515,0.9214641386979091
0.6920766476454924,0.6920766426052829,0.20508496776939514
0.010215250724265006,0.010215250661462554,0.9998956484475776
0.28179284615147976,0.2817928479563113,0.9171617049678032
0.4406518136724996,0.4406518165571947,0.7820818151653556
0.4849395071109911,0.4849395096115078,0.7277824923363159
0.11703492882892182,0.11703492936636434,0.9862077167737082
0.16836917642041396,0.16836917557997863,0.97123820340864
0.021492691256592793,0.021492691165040077,0.9995379609387749
0.07207217100939133,0.07207217063207286,0.9947920442937114
0.13575950012208132,0.13575950060570388,0.981396314510225
0.5278039659484074,0.5278039635075924,0.6654667210421212
0.621051790735263,0.621051785628255,0.4781102002780836
0.6567277870660462,0.6567277822098856,0.3706983197480787
0.19770508398521763,0.19770508288819055,0.9601173935570451
0.7069716338879188,0.7069716383111795,0.01955047526711511
0.03124146869985765,0.03124146892275856,0.999023498826059
0.6642965658742811,0.6642965702272564,0.3426662369397539
0.2227255024648147,0.2227255012826162,0.9490978411473728
0.5924550178902943,0.5924550138885806,0.545888375728991
0.6996360842745825,0.699636075833647,0.1449783916586059
0.07270706900143377,0.07270706860383679,0.9946996401292418
0.6860207536381543,0.6860207583342007,0.24238617047168326
0.014444475442659184,0.014444475341959988,0.9997913402230488
0.7070346942273199,0.7070346895629555,0.014279318936389085
0.04369582856509255,0.04369582886687222,0.9980888534621357
0.6271944958423205,0.6271944919527761,0.46179448284649427
0.5289023069772073,0.528902310928653,0.6637203512689117
0.42703211659404566,0.42703211906819916,0.7970490269038966
0.021234481731254615,0.021234481876339483,0.9995490000614677
0.3050199544678354,0.30501995261721737,0.9021782898468396
0.18844240127788806,0.18844240211601443,0.9638355320615722
0.34839851851446224,0.34839851634360686,0.8701936311207008
0.12775787946889683,0.12775787847126277,0.9835425048972977
0.48225931315812187,0.4822593101299425,0.731335710431942
0.10421591379436411,0.10421591309371687,0.9890794186054849
