MOP,Algorithm,Intensity,Pop,Gen,K,headway_uni,headway_rand,cov_uni,cov_rand,gap_uni,gap_rand,reg_uni,reg_rand,bal_uni,bal_rand,closeness_uni,closeness_rand
DPF1,NSGA2,standard,200,1000,10,0.0,3.7837498261575826,0.05134826495373537,0.2833763378580567,0.11493739494870875,0.5240334633066597,0.02781951792134831,0.12781260594137528,0.7745966692414834,0.8730725198354524,0.0,1.954448659800606
DPF1,NSGA3,standard,200,1000,10,0.0,3.7837498261575826,0.05134826495373537,0.2833763378580567,0.11493739494870875,0.5240334633066597,0.02781951792134831,0.12781260594137528,0.7745966692414834,0.8730725198354524,0.0,1.954448659800606
DPF1,MOEAD,standard,200,1000,10,0.0,3.7837498261575826,0.05134826495373537,0.2833763378580567,0.11493739494870875,0.5240334633066597,0.02781951792134831,0.12781260594137528,0.7745966692414834,0.8730725198354524,0.0,1.954448659800606
DPF1,NSGA2,standard,200,1000,11,0.0,3.774345296856076,0.046395472684999495,0.29472695788930225,0.09916982571588978,0.531502769777394,0.023573994298799028,0.13290173183004478,0.7385489458759964,0.8528028654224418,0.0,1.9294785629891358
DPF1,NSGA3,standard,200,1000,11,0.0,3.774345296856076,0.046395472684999495,0.29472695788930225,0.09916982571588978,0.531502769777394,0.023573994298799028,0.13290173183004478,0.7385489458759964,0.8528028654224418,0.0,1.9294785629891358
DPF1,MOEAD,standard,200,1000,11,0.0,3.774345296856076,0.046395472684999495,0.29472695788930225,0.09916982571588978,0.531502769777394,0.023573994298799028,0.13290173183004478,0.7385489458759964,0.8528028654224418,0.0,1.9294785629891358
DPF1,NSGA2,standard,200,1000,12,0.0,3.795668374242981,0.0417482533962708,0.2815612816513282,0.09042209436453179,0.5046924949963243,0.019509173137558268,0.14099921180767827,0.7071067811865475,0.8660254037844386,0.0,1.9949942358234916
DPF1,NSGA3,standard,200,1000,12,0.0,3.795668374242981,0.0417482533962708,0.2815612816513282,0.09042209436453179,0.5046924949963243,0.019509173137558268,0.14099921180767827,0.7071067811865475,0.8660254037844386,0.0,1.9949942358234916
DPF1,MOEAD,standard,200,1000,12,0.0,3.795668374242981,0.0417482533962708,0.2815612816513282,0.09042209436453179,0.5046924949963243,0.019509173137558268,0.14099921180767827,0.7071067811865475,0.8660254037844386,0.0,1.9949942358234916
DPF1,NSGA2,standard,200,1000,13,0.0,3.893006778571329,0.038022473358045344,0.27239444894137854,0.07968230537870619,0.4882892559587104,0.018827942725771193,0.14659973682997823,0.7337993857053429,0.8603468106131238,0.0,1.9783000611102404
DPF1,NSGA3,standard,200,1000,13,0.0,3.893006778571329,0.038022473358045344,0.27239444894137854,0.07968230537870619,0.4882892559587104,0.018827942725771193,0.14659973682997823,0.7337993857053429,0.8603468106131238,0.0,1.9783000611102404
DPF1,MOEAD,standard,200,1000,13,0.0,3.893006778571329,0.038022473358045344,0.27239444894137854,0.07968230537870619,0.4882892559587104,0.018827942725771193,0.14659973682997823,0.7337993857053429,0.8603468106131238,0.0,1.9783000611102404
DPF1,NSGA2,standard,200,1000,14,0.0,4.347165425633956,0.03570576229588036,0.257976590557893,0.0788161933637204,0.4681837950599225,0.018992599185763022,0.14211254222729144,0.7071067811865476,0.8451542547285166,0.0,1.9776650430766995
DPF1,NSGA3,standard,200,1000,14,0.0,4.347165425633956,0.03570576229588036,0.257976590557893,0.0788161933637204,0.4681837950599225,0.018992599185763022,0.14211254222729144,0.7071067811865476,0.8451542547285166,0.0,1.9776650430766995
DPF1,MOEAD,standard,200,1000,14,0.0,4.347165425633956,0.03570576229588036,0.257976590557893,0.0788161933637204,0.4681837950599225,0.018992599185763022,0.14211254222729144,0.7071067811865476,0.8451542547285166,0.0,1.9776650430766995
DPF1,NSGA2,standard,200,1000,15,0.0,5.235860730084661,0.03318681407821615,0.25994639570035744,0.076308799080336,0.4764119396609841,0.016225165080736577,0.15044880714223582,0.6831300510639732,0.8060180805615742,0.0,2.0598971959730434
DPF1,NSGA3,standard,200,1000,15,0.0,5.235860730084661,0.03318681407821615,0.25994639570035744,0.076308799080336,0.4764119396609841,0.016225165080736577,0.15044880714223582,0.6831300510639732,0.8060180805615742,0.0,2.0598971959730434
DPF1,MOEAD,standard,200,1000,15,0.0,5.235860730084661,0.03318681407821615,0.25994639570035744,0.076308799080336,0.4764119396609841,0.016225165080736577,0.15044880714223582,0.6831300510639732,0.8060180805615742,0.0,2.0598971959730434
DPF1,NSGA2,standard,200,1000,16,0.0,6.189480913805953,0.03130423300244271,0.24989349769101743,0.06703706995991152,0.4538389544598668,0.015811957473587008,0.14766729692557645,0.6614378277661477,0.810078791227985,0.0,1.9582558881340693
DPF1,NSGA3,standard,200,1000,16,0.0,6.189480913805953,0.03130423300244271,0.24989349769101743,0.06703706995991152,0.4538389544598668,0.015811957473587008,0.14766729692557645,0.6614378277661477,0.810078791227985,0.0,1.9582558881340693
DPF1,MOEAD,standard,200,1000,16,0.0,6.189480913805953,0.03130423300244271,0.24989349769101743,0.06703706995991152,0.4538389544598668,0.015811957473587008,0.14766729692557645,0.6614378277661477,0.810078791227985,0.0,1.9582558881340693
DPF1,NSGA2,standard,200,1000,17,0.0,7.888283967930057,0.02950705923246705,0.2425162951674636,0.06547806833293686,0.43178040884499536,0.015936461075741204,0.15620548941001844,0.6468825910408078,0.8180839792603538,0.0,2.010642188893083
DPF1,NSGA3,standard,200,1000,17,0.0,7.888283967930057,0.02950705923246705,0.2425162951674636,0.06547806833293686,0.43178040884499536,0.015936461075741204,0.15620548941001844,0.6468825910408078,0.8180839792603538,0.0,2.010642188893083
DPF1,MOEAD,standard,200,1000,17,0.0,7.888283967930057,0.02950705923246705,0.2425162951674636,0.06547806833293686,0.43178040884499536,0.015936461075741204,0.15620548941001844,0.6468825910408078,0.8180839792603538,0.0,2.010642188893083
DPF1,NSGA2,standard,200,1000,18,0.0,7.821469783375486,0.027331403173062672,0.2406379104918491,0.06348601069846921,0.4340519344431566,0.013973273841773125,0.1488137252623547,0.6286568783286394,0.8035530905822889,0.0,1.9342478124639804
DPF1,NSGA3,standard,200,1000,18,0.0,7.821469783375486,0.027331403173062672,0.2406379104918491,0.06348601069846921,0.4340519344431566,0.013973273841773125,0.1488137252623547,0.6286568783286394,0.8035530905822889,0.0,1.9342478124639804
DPF1,MOEAD,standard,200,1000,18,0.0,7.821469783375486,0.027331403173062672,0.2406379104918491,0.06348601069846921,0.4340519344431566,0.013973273841773125,0.1488137252623547,0.6286568783286394,0.8035530905822889,0.0,1.9342478124639804
DPF1,NSGA2,standard,200,1000,19,0.0,7.884003609232799,0.025674080510146788,0.24011294724791213,0.05750983779506612,0.4470973444148678,0.013648101962462592,0.148261474079242,0.590385968708886,0.7821211458496514,0.0,1.9203992563540468
DPF1,NSGA3,standard,200,1000,19,0.0,7.884003609232799,0.025674080510146788,0.24011294724791213,0.05750983779506612,0.4470973444148678,0.013648101962462592,0.148261474079242,0.590385968708886,0.7821211458496514,0.0,1.9203992563540468
DPF1,MOEAD,standard,200,1000,19,0.0,7.884003609232799,0.025674080510146788,0.24011294724791213,0.05750983779506612,0.4470973444148678,0.013648101962462592,0.148261474079242,0.590385968708886,0.7821211458496514,0.0,1.9203992563540468
